#s_m;x_m;y_m;psi_rad;kappa_radpm;vx_mps;ax_mps2
20.9460971;7.2934758;-0.4500917;-1.5660439;0.0813071;4.0000000;0.0000000
21.1455837;7.4929399;-0.4471734;-1.5449421;0.1251187;4.0000000;0.0000000
21.3450703;7.6922748;-0.4392783;-1.5162210;0.1629210;4.0000000;0.0000000
21.5445570;7.8912447;-0.4248805;-1.4793901;0.2076497;4.0000000;0.0000000
21.7440436;8.0894514;-0.4022663;-1.4335546;0.2515517;4.0000000;0.0000000
21.9435303;8.2862659;-0.3697360;-1.3789594;0.2960336;4.0000000;0.0000000
22.1430169;8.4808006;-0.3256468;-1.3153740;0.3417669;4.0000000;-0.0646122
22.3425035;8.6718561;-0.2684002;-1.2423327;0.3913229;3.9967764;-2.9609756
22.5419902;8.8578339;-0.1964296;-1.1590166;0.4447202;3.8461502;-2.5670520
22.7414768;9.0366620;-0.1082502;-1.0643003;0.5062617;3.7106180;-2.0959822
22.9409635;9.2056508;-0.0024840;-0.9565275;0.5752935;3.5961709;-1.4276986
23.1404501;9.3613544;0.1219809;-0.8336451;0.6557635;3.5160819;-0.0247720
23.3399367;9.4992368;0.2658573;-0.6905935;0.7698567;3.5146761;-0.0247720
23.5394234;9.6144084;0.4284940;-0.5439473;0.7005960;3.5132698;0.8377454
23.7389100;9.7060859;0.6055146;-0.4153674;0.5922652;3.5605200;1.9762528
23.9383966;9.7762374;0.7921670;-0.3067409;0.4992931;3.6695742;2.7596277
24.1378833;9.8274493;0.9849138;-0.2153257;0.4186066;3.8166468;3.3830327
24.3373699;9.8623990;1.1812822;-0.1394634;0.3426512;3.9895529;0.2092059
24.5368566;9.8838580;1.3795913;-0.0786080;0.2666610;4.0000000;0.0000000
24.7363432;9.8948052;1.5787650;-0.0340982;0.1793670;4.0000000;0.0000000
24.9358298;9.8986400;1.7782095;-0.0073477;0.0909136;4.0000000;0.0000000
25.1353165;9.8987518;1.9776958;0.0039954;0.0275923;4.0000000;0.0000000
25.3348031;9.8975162;2.1771789;0.0078510;0.0122756;4.0000000;0.0000000
25.5342898;9.8957275;2.3766575;0.0099739;0.0090611;4.0000000;0.0000000
25.7337764;9.8935753;2.5761325;0.0115144;0.0063357;4.0000000;0.0000000
25.9332630;9.8911737;2.7756047;0.0124564;0.0030634;4.0000000;0.0000000
26.1327497;9.8886528;2.9750754;0.0126938;-0.0007216;4.0000000;0.0000000
26.3322363;9.8861628;3.1745464;0.0121315;-0.0049285;4.0000000;0.0000000
26.5317230;9.8838696;3.3740198;0.0107150;-0.0092772;4.0000000;0.0000000
26.7312096;9.8819459;3.5734973;0.0084260;-0.0136763;4.0000000;0.0000000
