#s_m;x_m;y_m;psi_rad;kappa_radpm;vx_mps;ax_mps2
32.9563243;6.8538744;0.1931767;-1.0955679;0.1066525;4.0000000;0.0000000
33.1560596;7.0304828;0.2864613;-1.0740475;0.1088371;4.0000000;0.0000000
33.3557949;7.2050209;0.3835626;-1.0520840;0.1111215;4.0000000;0.0000000
33.5555302;7.3773599;0.4845134;-1.0296457;0.1136141;4.0000000;0.0000000
33.7552655;7.5473629;0.5893489;-1.0066840;0.1163709;4.0000000;0.0000000
33.9550008;7.7148825;0.6981071;-0.9831427;0.1194270;4.0000000;0.0000000
34.1547361;7.8797591;0.8108301;-0.9589548;0.1228746;4.0000000;0.0000000
34.3544714;8.0418185;0.9275658;-0.9340282;0.1268576;4.0000000;0.0000000
34.5542067;8.2008675;1.0483705;-0.9082502;0.1313866;4.0000000;0.0000000
34.7539420;8.3566913;1.1733073;-0.8815221;0.1363342;4.0000000;0.0000000
34.9536773;8.5090545;1.3024411;-0.8537598;0.1417855;4.0000000;0.0000000
35.1534126;8.6576992;1.4358385;-0.8248483;0.1478578;4.0000000;0.0000000
35.3531479;8.8023407;1.5735668;-0.7947018;0.1539605;4.0000000;0.0000000
35.5528832;8.9426799;1.7156752;-0.7633884;0.1594165;4.0000000;0.0000000
35.7526185;9.0784204;1.8621810;-0.7309434;0.1658288;4.0000000;0.0000000
35.9523538;9.2092287;2.0131102;-0.6969164;0.1758143;4.0000000;0.0000000
36.1520891;9.3346624;2.1685413;-0.6607414;0.1861135;4.0000000;0.0000000
36.3518244;9.4542385;2.3285228;-0.6227316;0.1937779;4.0000000;0.0000000
36.5515597;9.5675490;2.4929944;-0.5838190;0.1938228;4.0000000;0.0000000
36.7512949;9.6744206;2.6617185;-0.5456834;0.1867385;4.0000000;0.0000000
36.9510302;9.7749297;2.8343107;-0.5093192;0.1771732;4.0000000;0.0000000
37.1507655;9.8692646;3.0103556;-0.4747749;0.1693260;4.0000000;0.0000000
37.3505008;9.9575831;3.1894950;-0.4414255;0.1656070;4.0000000;0.0000000
37.5502361;10.0399200;3.3714610;-0.4083872;0.1660565;4.0000000;0.0000000
37.7499714;10.1161739;3.5560579;-0.3749961;0.1685364;4.0000000;0.0000000
37.9497067;10.1861735;3.7431149;-0.3411073;0.1705031;4.0000000;0.0000000
38.1494420;10.2497660;3.9324460;-0.3069551;0.1711756;4.0000000;0.0000000
38.3491773;10.3068498;4.1238408;-0.2727440;0.1713536;4.0000000;0.0000000
38.5489126;10.3573501;4.3170774;-0.2384871;0.1717350;4.0000000;0.0000000
38.7486479;10.4011928;4.5119323;-0.2041215;0.1724253;4.0000000;0.0000000
38.9483832;10.4382991;4.7081815;-0.1695891;0.1734087;4.0000000;0.0000000
39.1481185;10.4685865;4.9055979;-0.1348325;0.1746594;4.0000000;0.0000000
39.3478538;10.4919692;5.1039504;-0.0998064;0.1760759;4.0000000;0.0000000
39.5475891;10.5083623;5.3030026;-0.0644814;0.1776768;4.0000000;0.0000000
39.7473244;10.5176812;5.5025113;-0.0288022;0.1796924;4.0000000;0.0000000
39.9470597;10.5198334;5.7022259;0.0073407;0.1823678;4.0000000;0.0000000
40.1467950;10.5147095;5.9018861;0.0440838;0.1856504;4.0000000;0.0000000
40.3465303;10.5021873;6.1012183;0.0814982;0.1888522;4.0000000;0.0000000
40.5462656;10.4821566;6.2999372;0.1195184;0.1918015;4.0000000;0.0000000
40.7460009;10.4545249;6.4977432;0.1582268;0.1964624;4.0000000;0.0000000
40.9457362;10.4191532;6.6943101;0.1980453;0.2021442;4.0000000;0.0000000
41.1454715;10.3758848;6.8892907;0.2387387;0.2036200;4.0000000;0.0000000
41.3452068;10.3247295;7.0823554;0.2791812;0.2006033;4.0000000;0.0000000
41.5449421;10.2658852;7.2732194;0.3187324;0.1946436;4.0000000;0.0000000
41.7446774;10.1996223;7.4616313;0.3581751;0.2095225;4.0000000;0.0000000
41.9444127;10.1254778;7.6470682;0.4043446;0.2618145;4.0000000;0.0000000
42.1441480;10.0417385;7.8283652;0.4631380;0.3249521;4.0000000;-0.4686730
42.3438833;9.9464296;8.0038517;0.5337639;0.3801623;3.9765285;-3.3157968
42.5436186;9.8380951;8.1715944;0.6147548;0.4295392;3.8063389;-3.1127257
