# s_m;x_m;y_m;psi_rad;kappa_radpm;vx_mps;ax_mps2
33.1382407;8.2445747;1.1674086;-0.9215018;0.1169243;7.5298207;-2.8774238
33.3378687;8.4021399;1.2899773;-0.8977130;0.1214050;7.4531451;-2.7598106
33.5374966;8.5566883;1.4163286;-0.8730236;0.1259815;7.3788550;-2.6230330
33.7371246;8.7080103;1.5465274;-0.8473901;0.1309742;7.3075467;-2.4575728
33.9367526;8.8558760;1.6806387;-0.8206999;0.1365448;7.2400994;-2.3135557
34.1363805;9.0000304;1.8187284;-0.7928925;0.1417548;7.1760252;-2.2946399
34.3360085;9.1402199;1.9608358;-0.7642212;0.1446601;7.1119048;-2.2864227
34.5356364;9.2762507;2.1069278;-0.7352862;0.1445427;7.0474337;-2.4206482
34.7352644;9.4080137;2.2568872;-0.7065292;0.1439525;6.9785287;-2.5961858
34.9348923;9.5354124;2.4105788;-0.6776399;0.1466872;6.9038627;-2.4418848
35.1345203;9.6582502;2.5679381;-0.6477598;0.1533945;6.8328899;-2.2328535
35.3341482;9.7762069;2.7289802;-0.6163502;0.1609058;6.7673410;-2.1461236
35.5337762;9.8889313;2.8937212;-0.5836408;0.1658653;6.7037341;-2.1411733
35.7334042;9.9961452;3.0621012;-0.5502958;0.1674387;6.6396668;-2.2047174
35.9330321;10.0976768;3.2339713;-0.5168981;0.1668415;6.5730456;-2.3743827
36.1326601;10.1934305;3.4091293;-0.4837006;0.1658764;6.5005340;-2.5743026
36.3322880;10.2833308;3.5873633;-0.4506069;0.1661477;6.4209919;-2.7371339
36.5319160;10.3672668;3.7684816;-0.4172468;0.1686925;6.3353232;-2.8115242
36.7315439;10.4450518;3.9523235;-0.3831238;0.1737004;6.2461030;-2.7392725
36.9311719;10.5164121;4.1387512;-0.3477924;0.1805577;6.1579324;-2.6437887
37.1307999;10.5810050;4.3276286;-0.3109819;0.1882603;6.0716212;-2.5595360
37.3304278;10.6384548;4.5187989;-0.2726224;0.1959212;5.9868751;-2.5022422
37.5300558;10.6883858;4.7120691;-0.2327775;0.2031255;5.9028500;-2.4702803
37.7296837;10.7304413;4.9072044;-0.1915395;0.2099282;5.8187081;-2.4575526
37.9293117;10.7642842;5.1039302;-0.1489666;0.2165208;5.7337747;-2.4569058
38.1289396;10.7895944;5.3019341;-0.1050938;0.2229017;5.6475869;-2.4611085
38.3285676;10.8060718;5.5008672;-0.0599863;0.2288034;5.5599124;-2.4921037
38.5281955;10.8134494;5.7003447;-0.0137730;0.2340048;5.4697019;-2.5591100
38.7278235;10.8115043;5.8999484;0.0334234;0.2388137;5.3754906;-2.6552581
38.9274515;10.8000482;6.0992308;0.0815896;0.2437202;5.2759617;-2.7658362
39.1270794;10.7789133;6.2977174;0.1307249;0.2481560;5.1702510;-2.9065849
39.3267074;10.7479798;6.4949112;0.1805744;0.2509159;5.0567800;-3.1182011
39.5263353;10.7072161;6.6903035;0.2308558;0.2536332;4.9321459;-3.3696679
39.7259633;10.6566093;6.8833720;0.2820697;0.2608766;4.7938193;-3.5584429
39.9255912;10.5960062;7.0735361;0.3354476;0.2769243;4.6432719;-3.3393007
40.1252192;10.5249538;7.2600520;0.3934627;0.3070817;4.4974147;-2.9853619
40.3248472;10.4425788;7.4418512;0.4586900;0.3447793;4.3628907;-2.8304055
40.5244751;10.3479139;7.6175567;0.5307055;0.3750679;4.2314016;-2.7903284
40.7241031;10.2403852;7.7856935;0.6081407;0.4022072;4.0976462;-2.6334702
40.9237310;10.1196976;7.9446479;0.6918501;0.4389079;3.9672756;-2.3411212
41.1233590;9.9855382;8.0923982;0.7841837;0.4862396;3.8476706;-2.1345574
41.3229869;9.8376930;8.2264328;0.8860778;0.5306224;3.7352824;-2.1079885
41.5226149;9.6765306;8.3441153;0.9950495;0.5569810;3.6208711;-2.1580861
41.7222428;9.5033308;8.4432181;1.1076627;0.5742824;3.4998684;-2.4654304
41.9218708;9.3199438;8.5217912;1.2255706;0.6138871;3.3562987;-2.5141015
42.1214988;9.1283375;8.5772398;1.3549604;0.6838022;3.2032751;-2.4370429
42.3211267;8.9310028;8.6060564;1.4992842;0.7635236;3.0476167;-2.3383957
42.5207547;8.7316531;8.6045422;1.6606401;0.8604330;2.8903891;-1.8435912
42.7203826;8.5355645;8.5688720;1.8455006;1.0083223;2.7601240;-0.5099018
42.9200106;8.3506959;8.4944149;2.0690338;1.2158231;2.7229953;-0.0148572
43.1196385;8.1893062;8.3776982;2.3290585;1.2836136;2.7219058;-0.0148572
43.3192665;8.0616801;8.2245560;2.5549458;0.9848300;2.7208160;2.2046165
43.5188944;7.9663390;8.0496401;2.7203572;0.7037568;2.8780281;3.6641394
43.7185224;7.8966351;7.8630336;2.8416399;0.5229548;3.1218544;4.3937518
43.9181504;7.8468361;7.6701869;2.9312576;0.3761895;3.3911954;5.1606815
44.1177783;7.8115296;7.4736063;2.9926232;0.2721359;3.6824773;5.2728062
44.3174063;7.7873641;7.2745896;3.0516923;0.3779480;3.9580094;3.5577127
44.5170342;7.7790875;7.0754849;-3.1272308;0.5292987;4.1335549;0.4319920
44.7166622;7.7895157;6.8760461;-3.0645553;0.1876083;4.1543653;5.2653902
44.9162901;7.8090218;6.6770111;-3.0206488;0.2630584;4.4001124;1.6510163
45.1159181;7.8385022;6.4805495;-2.9654162;0.2101498;4.4743902;-5.0179845
45.3155461;7.8755650;6.2842421;-2.9533959;-0.0343120;4.2446092;-7.3758049
45.5151740;7.9118092;6.0880664;-2.9675598;-0.1436065;3.8822511;-4.9331475
45.7148020;7.9421254;5.8907564;-3.0176137;-0.3513225;3.6197079;-3.1262549
45.9144299;7.9585299;5.6915761;-3.1077380;-0.5405312;3.4429798;-1.8902353
46.1140579;7.9535131;5.4921692;3.0524378;-0.6885064;3.3315795;-0.8269364
46.3136858;7.9212915;5.2954263;2.9019000;-0.8082874;3.2816555;-0.2177287
46.5133138;7.8580138;5.1063350;2.7330923;-0.8718781;3.2683839;-0.0214047
46.7129417;7.7629443;4.9308778;2.5560060;-0.8909677;3.2670763;-0.0214047
46.9125697;7.6383960;4.7749852;2.3789100;-0.8827162;3.2657681;0.0742312
47.1121977;7.4889025;4.6433453;2.2082494;-0.8393745;3.2703026;0.5115446
47.3118256;7.3196291;4.5385157;2.0436153;-0.8101271;3.3013809;0.6584740
47.5114536;7.1352682;4.4624825;1.8796322;-0.8205166;3.3409603;0.3289968
47.7110815;6.9409415;4.4171727;1.7219211;-0.7644711;3.3605609;0.8538977
