#x_m,y_m,w_tr_right_m,w_tr_left_m
4.6600,1.9200,0.7000,0.7000
4.6100,1.9200,0.7000,0.7000
4.5600,1.9200,0.7000,0.7000
4.5100,1.9200,0.7000,0.7000
4.4600,1.9200,0.7000,0.7000
4.4100,1.9200,0.7000,0.7000
4.3600,1.9200,0.7000,0.7000
4.3100,1.9200,0.7000,0.7000
4.2600,1.9200,0.7000,0.7000
4.2100,1.9200,0.7000,0.7000
4.1600,1.9200,0.7000,0.7000
4.1100,1.9200,0.7000,0.7000
4.0600,1.9200,0.7000,0.7000
4.0100,1.9200,0.7000,0.7000
3.9600,1.9200,0.7000,0.7000
3.9100,1.9200,0.7000,0.7000
3.8600,1.9200,0.7000,0.7000
3.8100,1.9200,0.7000,0.7000
3.7600,1.9200,0.7000,0.7000
3.7100,1.9200,0.7000,0.7000
3.6600,1.9200,0.7000,0.7000
3.6100,1.9200,0.7000,0.7000
3.5600,1.9200,0.7000,0.7000
3.5100,1.9200,0.7000,0.7000
3.4600,1.9200,0.7000,0.7000
3.4100,1.9200,0.7000,0.7000
3.3600,1.9200,0.7000,0.7000
3.3100,1.9200,0.7000,0.7000
3.2600,1.9200,0.7000,0.7000
3.2100,1.9200,0.7000,0.7000
3.1600,1.9200,0.7000,0.7000
3.1100,1.9200,0.7000,0.7000
3.0600,1.9200,0.7000,0.7000
3.0100,1.9200,0.7000,0.7000
2.9600,1.9200,0.7000,0.7000
2.9100,1.9200,0.7000,0.7000
2.8600,1.9200,0.7000,0.7000
2.8100,1.9200,0.7000,0.7000
2.7600,1.9200,0.7000,0.7000
2.7100,1.9200,0.7000,0.7000
2.6600,1.9200,0.7000,0.7000
2.6100,1.9200,0.7000,0.7000
2.5600,1.9200,0.7000,0.7000
2.5100,1.9200,0.7000,0.7000
2.4600,1.9200,0.7000,0.7000
2.4100,1.9200,0.7000,0.7000
2.3600,1.9200,0.7000,0.7000
2.3100,1.9200,0.7000,0.7000
2.2600,1.9200,0.7000,0.7000
2.2100,1.9200,0.7000,0.7000
2.1600,1.9200,0.7000,0.7000
2.1100,1.9200,0.7000,0.7000
2.0600,1.9200,0.7000,0.7000
2.0100,1.9200,0.7000,0.7000
1.9600,1.9200,0.7000,0.7000
1.9100,1.9200,0.7000,0.7000
1.8600,1.9200,0.7000,0.7000
1.8100,1.9200,0.7000,0.7000
1.7600,1.9200,0.7000,0.7000
1.7100,1.9200,0.7000,0.7000
1.6600,1.9200,0.7000,0.7000
1.6100,1.9200,0.7000,0.7000
1.5600,1.9200,0.7000,0.7000
1.5100,1.9200,0.7000,0.7000
1.4600,1.9200,0.7000,0.7000
1.4100,1.9200,0.7000,0.7000
1.3600,1.9200,0.7000,0.7000
1.3100,1.9200,0.7000,0.7000
1.2600,1.9200,0.7000,0.7000
1.2100,1.9200,0.7000,0.7000
1.1600,1.9200,0.7000,0.7000
