#s_m;x_m;y_m;psi_rad;kappa_radpm;vx_mps;ax_mps2
23.5701482;0.9706657;2.2643820;1.4162109;0.2019381;4.0000000;0.0000000
23.7698952;0.7727066;2.2909155;1.4600850;0.2374951;4.0000000;0.0000000
23.9696422;0.5737169;2.3080378;1.5109730;0.2718190;4.0000000;0.0000000
24.1693892;0.3740948;2.3143132;1.5691000;0.3112753;4.0000000;0.0000000
24.3691362;0.1744770;2.3081080;1.6365536;0.3670440;4.0000000;0.0000000
24.5688832;-0.0241705;2.2873962;1.7139552;0.4042933;4.0000000;-1.8774966
24.7686303;-0.2205482;2.2507988;1.7965646;0.4201740;3.9051186;-3.0645863
24.9683773;-0.4131485;2.1978729;1.8817509;0.4323734;3.7450858;-3.4482918
25.1681243;-0.6003467;2.1284455;1.9714562;0.4695335;3.5564161;-3.4783242
25.3678713;-0.7800891;2.0417023;2.0717682;0.5377483;3.3553726;-2.8312424
25.5676183;-0.9493313;1.9359500;2.1911140;0.6614754;3.1823672;-2.0796311
25.7673654;-1.1031257;1.8087717;2.3370847;0.8012567;3.0490426;-1.4142500
25.9671124;-1.2346922;1.6587836;2.5102612;0.9291755;2.9549410;-0.0174960
26.1668594;-1.3360792;1.4870719;2.7115914;1.0900105;2.9537581;-4.2417448
26.3666064;-1.3975820;1.2975280;2.9528864;1.3527478;2.6514402;-0.0140979
