#s_m;x_m;y_m;psi_rad;kappa_radpm;vx_mps;ax_mps2
28.1284727;9.8962462;4.9680815;-0.0246628;-0.0320669;6.0000000;0.0000000
28.3279654;9.9018534;5.1674949;-0.0318143;-0.0396771;6.0000000;0.0000000
28.5274581;9.9090028;5.3668591;-0.0399455;-0.0418051;6.0000000;0.0000000
28.7269509;9.9176463;5.5661642;-0.0459422;-0.0181056;6.0000000;-0.0735724
28.9264436;9.9269924;5.7654378;-0.0469074;0.0084518;5.9975533;-8.4290495
29.1259363;9.9360018;5.9647268;-0.0425577;0.0351556;5.7103045;-7.7563981
29.3254290;9.9436160;6.1640734;-0.0329239;0.0614235;5.4325765;-7.1560141
29.5249217;9.9487699;6.3634976;-0.0177913;0.0903094;5.1631137;-6.4113376
29.7244144;9.9502561;6.5629808;0.0042325;0.1305821;4.9091458;-5.6860185
29.9239071;9.9465060;6.7624306;0.0349189;0.1771677;4.6723735;-5.1393999
30.1233999;9.9357178;6.9616184;0.0748191;0.2229600;4.4475306;-4.3756434
30.3228926;9.9159701;7.1601098;0.1256304;0.2866984;4.2467293;-3.6719922
30.5223853;9.8848893;7.3571322;0.1895469;0.3543370;4.0705821;-3.0541679
30.7218780;9.8399765;7.5514523;0.2670028;0.4225514;3.9180442;-2.4677244
30.9213707;9.7788674;7.7412826;0.3581927;0.4921932;3.7903145;-1.7836208
31.1208634;9.6994281;7.9241756;0.4638509;0.5678396;3.6952463;-0.8761604
31.3203561;9.5998120;8.0968752;0.5853201;0.6509091;3.6476390;-0.0266604
31.5198489;9.4788085;8.2552870;0.7214662;0.7153262;3.6461806;-0.0266604
31.7193416;9.3370169;8.3953922;0.8599963;0.6761809;3.6447217;0.5009769
31.9188343;9.1778297;8.5154077;0.9870170;0.5993537;3.6720401;1.4013473
32.1183270;9.0054405;8.6155965;1.0992367;0.5270386;3.7473985;2.0806375
32.3178197;8.8234577;8.6971294;1.1977503;0.4614283;3.8565710;2.6172866
32.5173124;8.6347302;8.7615892;1.2835027;0.3987730;3.9896615;3.1306505
32.7168051;8.4414580;8.8108367;1.3571198;0.3395516;4.1432455;3.6466684
32.9162979;8.2452799;8.8468749;1.4192588;0.2835803;4.3152579;4.1919802
33.1157906;8.0473656;8.8717465;1.4705498;0.2307282;4.5048851;4.7869071
33.3152833;7.8485077;8.8874722;1.5115307;0.1801748;4.7121010;5.2554735
33.5147760;7.6492065;8.8960258;1.5426837;0.1321775;4.9295794;5.2512685
33.7142687;7.4497465;8.8994577;1.5622060;0.0633585;5.1376972;5.2470670
33.9137614;7.2502559;8.9002478;1.5697898;0.0128205;5.3375496;5.2428688
34.1132541;7.0507632;8.9002822;1.5710453;0.0000835;5.5300329;5.2386739
34.3127469;6.8512705;8.9002347;1.5710143;-0.0002940;5.7158918;5.2344824
34.5122396;6.6517778;8.9001953;1.5709824;-0.0000215;5.8957528;3.1081311
34.7117323;6.4522851;8.9001543;1.5710431;0.0006338;6.0000000;0.0000000
34.9112250;6.2527924;8.9000905;1.5711999;0.0009354;6.0000000;0.0000000
35.1107177;6.0532997;8.8999903;1.5714022;0.0010912;6.0000000;0.0000000
35.3102104;5.8538071;8.8998497;1.5715899;0.0007867;6.0000000;0.0000000
35.5097031;5.6543144;8.8996827;1.5716403;-0.0002872;6.0000000;0.0000000
35.7091959;5.4548218;8.8995216;1.5715606;-0.0005050;6.0000000;0.0000000
35.9086886;5.2553291;8.8993783;1.5714741;-0.0003599;6.0000000;0.0000000
36.1081813;5.0558364;8.8992503;1.5714015;-0.0003693;6.0000000;0.0000000
36.3076740;4.8563438;8.8991367;1.5713313;-0.0003342;6.0000000;0.0000000
36.5071667;4.6568511;8.8990365;1.5712669;-0.0003108;6.0000000;0.0000000
36.7066594;4.4573584;8.8989486;1.5712069;-0.0002916;6.0000000;0.0000000
36.9061521;4.2578657;8.8988724;1.5711505;-0.0002732;6.0000000;0.0000000
37.1056449;4.0583730;8.8988071;1.5710976;-0.0002575;6.0000000;0.0000000
37.3051376;3.8588803;8.8987520;1.5710477;-0.0002426;6.0000000;0.0000000
37.5046303;3.6593875;8.8987066;1.5710008;-0.0002280;6.0000000;0.0000000
37.7041230;3.4598948;8.8986703;1.5709566;-0.0002148;6.0000000;0.0000000
37.9036157;3.2604021;8.8986425;1.5709149;-0.0002034;6.0000000;0.0000000
38.1031084;3.0609094;8.8986228;1.5708759;-0.0001879;6.0000000;0.0000000
38.3026011;2.8614167;8.8986105;1.5708402;-0.0001697;6.0000000;0.0000000
38.5020939;2.6619240;8.8986050;1.5708085;-0.0001485;6.0000000;0.0000000
38.7015866;2.4624313;8.8986054;1.5707812;-0.0001252;6.0000000;0.0000000
38.9010793;2.2629386;8.8986107;1.5707590;-0.0000966;6.0000000;0.0000000
39.1005720;2.0634458;8.8986199;1.5707430;-0.0000640;6.0000000;0.0000000
39.3000647;1.8639531;8.8986315;1.5707337;-0.0000289;6.0000000;0.0000000
39.4995574;1.6644604;8.8986441;1.5707350;0.0000421;6.0000000;0.0000000
39.6990501;1.4649677;8.8986546;1.5707576;0.0001854;6.0000000;0.0000000
39.8985429;1.2654750;8.8986586;1.5707950;0.0001878;6.0000000;0.0000000
40.0980356;1.0659823;8.8986555;1.5708267;0.0001294;6.0000000;0.0000000
40.2975283;0.8664896;8.8986471;1.5708490;0.0000944;6.0000000;0.0000000
40.4970210;0.6669968;8.8986350;1.5708632;0.0000483;6.0000000;0.0000000
40.6965137;0.4675041;8.8986207;1.5708726;0.0000464;6.0000000;0.0000000
40.8960064;0.2680114;8.8986046;1.5708813;0.0000405;6.0000000;0.0000000
41.0954991;0.0685187;8.8985868;1.5708898;0.0000453;6.0000000;0.0000000
41.2949919;-0.1309740;8.8985673;1.5708993;0.0000499;6.0000000;0.0000000
41.4944846;-0.3304667;8.8985458;1.5709082;0.0000389;6.0000000;0.0000000
41.6939773;-0.5299594;8.8985228;1.5709149;0.0000279;6.0000000;0.0000000
41.8934700;-0.7294522;8.8984987;1.5709190;0.0000131;6.0000000;0.0000000
42.0929627;-0.9289449;8.8984740;1.5709199;-0.0000042;6.0000000;0.0000000
42.2924554;-1.1284376;8.8984496;1.5709171;-0.0000235;6.0000000;0.0000000
42.4919481;-1.3279303;8.8984261;1.5709103;-0.0000444;6.0000000;0.0000000
42.6914409;-1.5274230;8.8984044;1.5708993;-0.0000661;6.0000000;0.0000000
42.8909336;-1.7269157;8.8983853;1.5708839;-0.0000882;6.0000000;0.0000000
43.0904263;-1.9264084;8.8983698;1.5708641;-0.0001100;6.0000000;0.0000000
43.2899190;-2.1259011;8.8983586;1.5708401;-0.0001308;6.0000000;0.0000000
43.4894117;-2.3253939;8.8983526;1.5708121;-0.0001500;6.0000000;0.0000000
43.6889044;-2.5248866;8.8983525;1.5707805;-0.0001670;6.0000000;0.0000000
43.8883971;-2.7243793;8.8983591;1.5707458;-0.0001811;6.0000000;0.0000000
44.0878899;-2.9238720;8.8983729;1.5707086;-0.0001919;6.0000000;0.0000000
44.2873826;-3.1233647;8.8983942;1.5706696;-0.0001987;6.0000000;0.0000000
44.4868753;-3.3228574;8.8984235;1.5706297;-0.0002010;6.0000000;0.0000000
44.6863680;-3.5223501;8.8984607;1.5705899;-0.0001985;6.0000000;0.0000000
44.8858607;-3.7218428;8.8985058;1.5705511;-0.0001906;6.0000000;0.0000000
45.0853534;-3.9213356;8.8985584;1.5705144;-0.0001770;6.0000000;0.0000000
45.2848461;-4.1208283;8.8986180;1.5704811;-0.0001574;6.0000000;0.0000000
45.4843389;-4.3203210;8.8986839;1.5704522;-0.0001315;6.0000000;0.0000000
45.6838316;-4.5198137;8.8987549;1.5704292;-0.0000992;6.0000000;0.0000000
45.8833243;-4.7193064;8.8988299;1.5704134;-0.0000601;6.0000000;0.0000000
46.0828170;-4.9187991;8.8989072;1.5704059;-0.0000145;6.0000000;0.0000000
46.2823097;-5.1182918;8.8989850;1.5704083;0.0000388;6.0000000;0.0000000
46.4818024;-5.3177845;8.8990612;1.5704219;0.0000972;6.0000000;0.0000000
46.6812951;-5.5172772;8.8991335;1.5704483;0.0001679;6.0000000;0.0000000
46.8807879;-5.7167699;8.8991992;1.5704883;0.0002327;6.0000000;0.0000000
47.0802806;-5.9162626;8.8992553;1.5705451;0.0003369;6.0000000;0.0000000
